0.00.416.140 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.416.942 W srv  llama_server: -----------------
0.00.416.944 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.416.945 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.416.946 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.416.946 W srv  llama_server: -----------------
0.00.423.490 I srv    load_model: loading model 'C:/inky_models/Qwen2.5-Coder-7B-Instruct-Q4_K_M.gguf'
0.00.778.512 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 28, abort
0.01.000.833 W load: control-looking token: 128247 '</s>' was not control-type; this is probably a bug in the model. its type will be overridden
0.04.516.072 I cmn          init: llama threadpool init, n_threads = 6
0.04.799.481 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 24576, kv_unified = 'false'
0.04.813.366 I srv  llama_server: model loaded
0.04.813.377 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.813.377 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.04.813.378 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.08.540.329 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
3.30.149.877 I slot print_timing: id  0 | task 2103 | n_gen =    385, tg =  23.59 t/s, tg_3s =  23.33 t/s
3.33.178.741 I slot print_timing: id  0 | task 2103 | n_gen =    455, tg =  23.51 t/s, tg_3s =  23.11 t/s
3.36.203.824 I slot print_timing: id  0 | task 2103 | n_gen =    526, tg =  23.51 t/s, tg_3s =  23.47 t/s
3.39.241.999 I slot print_timing: id  0 | task 2103 | n_gen =    597, tg =  23.49 t/s, tg_3s =  23.37 t/s
3.42.249.081 I slot print_timing: id  0 | task 2103 | n_gen =    667, tg =  23.47 t/s, tg_3s =  23.28 t/s
3.45.256.176 I slot print_timing: id  0 | task 2103 | n_gen =    737, tg =  23.45 t/s, tg_3s =  23.28 t/s
3.48.294.142 I slot print_timing: id  0 | task 2103 | n_gen =    807, tg =  23.41 t/s, tg_3s =  23.04 t/s
3.51.302.621 I slot print_timing: id  0 | task 2103 | n_gen =    876, tg =  23.38 t/s, tg_3s =  22.94 t/s
3.54.243.627 I slot print_timing: id  0 | task 2103 | prompt eval time =     681.29 ms /   463 tokens (    1.47 ms per token,   679.60 tokens per second)
3.54.243.642 I slot print_timing: id  0 | task 2103 |        eval time =   40372.99 ms /   944 tokens (   42.81 ms per token,    23.36 tokens per second)
3.54.243.644 I slot print_timing: id  0 | task 2103 |       total time =   41054.28 ms /  1407 tokens
3.54.243.645 I slot print_timing: id  0 | task 2103 |    graphs reused =       3013
3.54.243.935 I slot      release: id  0 | task 2103 | stop processing: n_tokens = 5995, truncated = 0
4.18.008.599 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.808 (> 0.100 thold), f_keep = 0.511
4.18.008.740 I slot launch_slot_: id  0 | task 3048 | processing task, is_child = 0
4.22.850.645 I slot print_timing: id  0 | task 3048 | n_gen =    100, tg =  24.79 t/s, tg_3s =  25.04 t/s
4.25.854.924 I slot print_timing: id  0 | task 3048 | n_gen =    174, tg =  24.72 t/s, tg_3s =  24.63 t/s
4.28.891.570 I slot print_timing: id  0 | task 3048 | n_gen =    249, tg =  24.72 t/s, tg_3s =  24.70 t/s
4.31.911.273 I slot print_timing: id  0 | task 3048 | n_gen =    323, tg =  24.67 t/s, tg_3s =  24.51 t/s
4.34.037.444 I slot print_timing: id  0 | task 3048 | prompt eval time =     848.83 ms /   727 tokens (    1.17 ms per token,   856.48 tokens per second)
4.34.037.454 I slot print_timing: id  0 | task 3048 |        eval time =   15179.85 ms /   375 tokens (   40.59 ms per token,    24.64 tokens per second)
4.34.037.455 I slot print_timing: id  0 | task 3048 |       total time =   16028.68 ms /  1102 tokens
4.34.037.456 I slot print_timing: id  0 | task 3048 |    graphs reused =       3384
4.34.037.638 I slot      release: id  0 | task 3048 | stop processing: n_tokens = 4166, truncated = 0
4.37.788.086 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.944 (> 0.100 thold), f_keep = 0.909
4.37.788.218 I slot launch_slot_: id  0 | task 3424 | processing task, is_child = 0
4.42.286.996 I slot print_timing: id  0 | task 3424 | n_gen =    100, tg =  24.55 t/s, tg_3s =  24.80 t/s
4.45.313.568 I slot print_timing: id  0 | task 3424 | n_gen =    174, tg =  24.51 t/s, tg_3s =  24.45 t/s
4.48.352.312 I slot print_timing: id  0 | task 3424 | n_gen =    248, tg =  24.46 t/s, tg_3s =  24.35 t/s
4.51.378.423 I slot print_timing: id  0 | task 3424 | n_gen =    321, tg =  24.38 t/s, tg_3s =  24.12 t/s
4.54.034.597 I slot print_timing: id  0 | task 3424 | prompt eval time =     466.99 ms /   226 tokens (    2.07 ms per token,   483.95 tokens per second)
4.54.034.605 I slot print_timing: id  0 | task 3424 |        eval time =   15779.37 ms /   385 tokens (   41.09 ms per token,    24.34 tokens per second)
4.54.034.606 I slot print_timing: id  0 | task 3424 |       total time =   16246.36 ms /   611 tokens
4.54.034.607 I slot print_timing: id  0 | task 3424 |    graphs reused =       3765
4.54.034.797 I slot      release: id  0 | task 3424 | stop processing: n_tokens = 4396, truncated = 0
5.17.778.170 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.242 (> 0.100 thold), f_keep = 0.243
5.17.887.454 I slot launch_slot_: id  0 | task 3810 | processing task, is_child = 0
5.24.831.846 I slot print_timing: id  0 | task 3810 | n_gen =    100, tg =  24.39 t/s, tg_3s =  24.64 t/s
5.27.863.373 I slot print_timing: id  0 | task 3810 | n_gen =    174, tg =  24.40 t/s, tg_3s =  24.41 t/s
5.30.886.552 I slot print_timing: id  0 | task 3810 | n_gen =    246, tg =  24.23 t/s, tg_3s =  23.82 t/s
5.33.924.833 I slot print_timing: id  0 | task 3810 | n_gen =    319, tg =  24.18 t/s, tg_3s =  24.03 t/s
5.36.945.134 I slot print_timing: id  0 | task 3810 | n_gen =    391, tg =  24.12 t/s, tg_3s =  23.84 t/s
5.39.952.264 I slot print_timing: id  0 | task 3810 | n_gen =    463, tg =  24.09 t/s, tg_3s =  23.94 t/s
5.42.967.747 I slot print_timing: id  0 | task 3810 | n_gen =    535, tg =  24.06 t/s, tg_3s =  23.88 t/s
5.46.005.706 I slot print_timing: id  0 | task 3810 | n_gen =    607, tg =  24.02 t/s, tg_3s =  23.70 t/s
5.49.030.875 I slot print_timing: id  0 | task 3810 | n_gen =    679, tg =  23.99 t/s, tg_3s =  23.80 t/s
5.50.079.866 I slot print_timing: id  0 | task 3810 | prompt eval time =    2885.84 ms /  3352 tokens (    0.86 ms per token,  1161.53 tokens per second)
5.50.079.881 I slot print_timing: id  0 | task 3810 |        eval time =   29306.54 ms /   704 tokens (   41.69 ms per token,    23.99 tokens per second)
5.50.079.883 I slot print_timing: id  0 | task 3810 |       total time =   32192.38 ms /  4056 tokens
5.50.079.884 I slot print_timing: id  0 | task 3810 |    graphs reused =       4464
5.50.080.214 I slot      release: id  0 | task 3810 | stop processing: n_tokens = 5125, truncated = 0
5.50.873.224 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.922 (> 0.100 thold), f_keep = 0.862
5.50.873.364 I slot launch_slot_: id  0 | task 4516 | processing task, is_child = 0
5.55.391.444 I slot print_timing: id  0 | task 4516 | n_gen =    100, tg =  23.76 t/s, tg_3s =  24.00 t/s
5.58.416.835 I slot print_timing: id  0 | task 4516 | n_gen =    172, tg =  23.77 t/s, tg_3s =  23.80 t/s
6.01.430.424 I slot print_timing: id  0 | task 4516 | n_gen =    244, tg =  23.81 t/s, tg_3s =  23.89 t/s
6.04.448.566 I slot print_timing: id  0 | task 4516 | n_gen =    316, tg =  23.82 t/s, tg_3s =  23.86 t/s
6.07.486.772 I slot print_timing: id  0 | task 4516 | n_gen =    388, tg =  23.80 t/s, tg_3s =  23.70 t/s
6.10.502.857 I slot print_timing: id  0 | task 4516 | n_gen =    459, tg =  23.76 t/s, tg_3s =  23.54 t/s
6.13.514.776 I slot print_timing: id  0 | task 4516 | n_gen =    530, tg =  23.73 t/s, tg_3s =  23.57 t/s
6.16.515.807 I slot print_timing: id  0 | task 4516 | n_gen =    601, tg =  23.72 t/s, tg_3s =  23.66 t/s
6.19.556.067 I slot print_timing: id  0 | task 4516 | n_gen =    672, tg =  23.68 t/s, tg_3s =  23.35 t/s
6.20.928.757 I slot print_timing: id  0 | task 4516 | prompt eval time =     350.62 ms /   373 tokens (    0.94 ms per token,  1063.81 tokens per second)
6.20.928.766 I slot print_timing: id  0 | task 4516 |        eval time =   29704.75 ms /   704 tokens (   42.25 ms per token,    23.67 tokens per second)
6.20.928.767 I slot print_timing: id  0 | task 4516 |       total time =   30055.37 ms /  1077 tokens
6.20.928.768 I slot print_timing: id  0 | task 4516 |    graphs reused =       5163
6.20.929.108 I slot      release: id  0 | task 4516 | stop processing: n_tokens = 5492, truncated = 0
11.49.300.064 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.329 (> 0.100 thold), f_keep = 0.191
11.49.439.046 I slot launch_slot_: id  0 | task 5221 | processing task, is_child = 0
11.55.386.736 I slot print_timing: id  0 | task 5221 | n_gen =    100, tg =  25.00 t/s, tg_3s =  25.25 t/s
11.58.394.600 I slot print_timing: id  0 | task 5221 | n_gen =    175, tg =  24.97 t/s, tg_3s =  24.93 t/s
12.01.408.221 I slot print_timing: id  0 | task 5221 | n_gen =    251, tg =  25.05 t/s, tg_3s =  25.22 t/s
12.04.427.498 I slot print_timing: id  0 | task 5221 | n_gen =    327, tg =  25.07 t/s, tg_3s =  25.17 t/s
12.07.450.423 I slot print_timing: id  0 | task 5221 | n_gen =    403, tg =  25.09 t/s, tg_3s =  25.14 t/s
12.10.457.018 I slot print_timing: id  0 | task 5221 | n_gen =    478, tg =  25.06 t/s, tg_3s =  24.95 t/s
12.13.491.242 I slot print_timing: id  0 | task 5221 | n_gen =    552, tg =  24.97 t/s, tg_3s =  24.39 t/s
12.16.514.847 I slot print_timing: id  0 | task 5221 | n_gen =    622, tg =  24.75 t/s, tg_3s =  23.15 t/s
12.19.549.913 I slot print_timing: id  0 | task 5221 | n_gen =    697, tg =  24.75 t/s, tg_3s =  24.71 t/s
12.22.568.142 I slot print_timing: id  0 | task 5221 | n_gen =    761, tg =  24.40 t/s, tg_3s =  21.20 t/s
12.25.601.293 I slot print_timing: id  0 | task 5221 | n_gen =    828, tg =  24.20 t/s, tg_3s =  22.09 t/s
12.28.607.996 I slot print_timing: id  0 | task 5221 | n_gen =    896, tg =  24.07 t/s, tg_3s =  22.62 t/s
12.31.637.651 I slot print_timing: id  0 | task 5221 | n_gen =    958, tg =  23.80 t/s, tg_3s =  20.46 t/s
12.34.655.583 I slot print_timing: id  0 | task 5221 | n_gen =   1027, tg =  23.73 t/s, tg_3s =  22.86 t/s
12.37.673.819 I slot print_timing: id  0 | task 5221 | n_gen =   1098, tg =  23.72 t/s, tg_3s =  23.52 t/s
12.40.683.937 I slot print_timing: id  0 | task 5221 | n_gen =   1164, tg =  23.61 t/s, tg_3s =  21.93 t/s
12.43.704.802 I slot print_timing: id  0 | task 5221 | n_gen =   1229, tg =  23.49 t/s, tg_3s =  21.52 t/s
12.46.711.964 I slot print_timing: id  0 | task 5221 | n_gen =   1293, tg =  23.37 t/s, tg_3s =  21.28 t/s
12.49.719.257 I slot print_timing: id  0 | task 5221 | n_gen =   1365, tg =  23.40 t/s, tg_3s =  23.94 t/s
12.52.752.067 I slot print_timing: id  0 | task 5221 | n_gen =   1433, tg =  23.35 t/s, tg_3s =  22.42 t/s
12.55.774.428 I slot print_timing: id  0 | task 5221 | n_gen =   1500, tg =  23.30 t/s, tg_3s =  22.17 t/s
12.58.782.698 I slot print_timing: id  0 | task 5221 | n_gen =   1569, tg =  23.28 t/s, tg_3s =  22.94 t/s
13.01.795.432 I slot print_timing: id  0 | task 5221 | n_gen =   1638, tg =  23.26 t/s, tg_3s =  22.90 t/s
13.03.870.517 I slot print_timing: id  0 | task 5221 | prompt eval time =    1987.15 ms /  2141 tokens (    0.93 ms per token,  1077.42 tokens per second)
13.03.870.526 I slot print_timing: id  0 | task 5221 |        eval time =   72444.28 ms /  1685 tokens (   43.02 ms per token,    23.25 tokens per second)
13.03.870.527 I slot print_timing: id  0 | task 5221 |       total time =   74431.43 ms /  3826 tokens
13.03.870.528 I slot print_timing: id  0 | task 5221 |    graphs reused =       6839
13.03.870.912 I slot      release: id  0 | task 5221 | stop processing: n_tokens = 4873, truncated = 0
13.04.361.930 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.979 (> 0.100 thold), f_keep = 0.653
13.04.362.066 I slot launch_slot_: id  0 | task 6908 | processing task, is_child = 0
13.08.688.137 I slot print_timing: id  0 | task 6908 | n_gen =    100, tg =  23.47 t/s, tg_3s =  23.70 t/s
13.11.696.304 I slot print_timing: id  0 | task 6908 | n_gen =    172, tg =  23.66 t/s, tg_3s =  23.93 t/s
13.14.708.392 I slot print_timing: id  0 | task 6908 | n_gen =    245, tg =  23.83 t/s, tg_3s =  24.24 t/s
13.17.719.015 I slot print_timing: id  0 | task 6908 | n_gen =    315, tg =  23.70 t/s, tg_3s =  23.25 t/s
13.20.739.264 I slot print_timing: id  0 | task 6908 | n_gen =    386, tg =  23.66 t/s, tg_3s =  23.51 t/s
13.23.765.652 I slot print_timing: id  0 | task 6908 | n_gen =    457, tg =  23.63 t/s, tg_3s =  23.46 t/s
13.26.766.230 I slot print_timing: id  0 | task 6908 | n_gen =    529, tg =  23.68 t/s, tg_3s =  24.00 t/s
13.29.767.499 I slot print_timing: id  0 | task 6908 | n_gen =    596, tg =  23.52 t/s, tg_3s =  22.32 t/s
13.32.803.686 I slot print_timing: id  0 | task 6908 | n_gen =    667, tg =  23.50 t/s, tg_3s =  23.38 t/s
13.35.839.082 I slot print_timing: id  0 | task 6908 | n_gen =    737, tg =  23.46 t/s, tg_3s =  23.06 t/s
13.38.843.955 I slot print_timing: id  0 | task 6908 | n_gen =    806, tg =  23.42 t/s, tg_3s =  22.96 t/s
13.41.861.667 I slot print_timing: id  0 | task 6908 | n_gen =    877, tg =  23.43 t/s, tg_3s =  23.53 t/s
13.42.335.284 I slot print_timing: id  0 | task 6908 | prompt eval time =     107.01 ms /    67 tokens (    1.60 ms per token,   626.10 tokens per second)
13.42.335.299 I slot print_timing: id  0 | task 6908 |        eval time =   37866.17 ms /   888 tokens (   42.69 ms per token,    23.42 tokens per second)
13.42.335.301 I slot print_timing: id  0 | task 6908 |       total time =   37973.18 ms /   955 tokens
13.42.335.302 I slot print_timing: id  0 | task 6908 |    graphs reused =       7721
13.42.335.554 I slot      release: id  0 | task 6908 | stop processing: n_tokens = 4137, truncated = 0
14.03.279.107 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.954 (> 0.100 thold), f_keep = 0.735
14.03.279.313 I slot launch_slot_: id  0 | task 7797 | processing task, is_child = 0
14.07.682.606 I slot print_timing: id  0 | task 7797 | n_gen =    100, tg =  24.31 t/s, tg_3s =  24.55 t/s
14.10.702.579 I slot print_timing: id  0 | task 7797 | n_gen =    173, tg =  24.25 t/s, tg_3s =  24.17 t/s
14.13.742.823 I slot print_timing: id  0 | task 7797 | n_gen =    246, tg =  24.18 t/s, tg_3s =  24.01 t/s
14.16.749.566 I slot print_timing: id  0 | task 7797 | n_gen =    318, tg =  24.13 t/s, tg_3s =  23.95 t/s
14.19.764.611 I slot print_timing: id  0 | task 7797 | n_gen =    390, tg =  24.08 t/s, tg_3s =  23.88 t/s
14.22.776.395 I slot print_timing: id  0 | task 7797 | n_gen =    462, tg =  24.05 t/s, tg_3s =  23.91 t/s
14.25.813.201 I slot print_timing: id  0 | task 7797 | n_gen =    534, tg =  24.01 t/s, tg_3s =  23.71 t/s
14.28.828.247 I slot print_timing: id  0 | task 7797 | n_gen =    606, tg =  23.99 t/s, tg_3s =  23.88 t/s
14.31.840.213 I slot print_timing: id  0 | task 7797 | n_gen =    677, tg =  23.95 t/s, tg_3s =  23.57 t/s
14.34.841.013 I slot print_timing: id  0 | task 7797 | n_gen =    748, tg =  23.92 t/s, tg_3s =  23.66 t/s
14.37.875.219 I slot print_timing: id  0 | task 7797 | n_gen =    819, tg =  23.87 t/s, tg_3s =  23.40 t/s
14.40.898.956 I slot print_timing: id  0 | task 7797 | n_gen =    890, tg =  23.84 t/s, tg_3s =  23.48 t/s
14.43.926.608 I slot print_timing: id  0 | task 7797 | n_gen =    961, tg =  23.81 t/s, tg_3s =  23.45 t/s
14.46.968.971 I slot print_timing: id  0 | task 7797 | n_gen =   1032, tg =  23.78 t/s, tg_3s =  23.34 t/s
14.50.009.075 I slot print_timing: id  0 | task 7797 | n_gen =   1103, tg =  23.75 t/s, tg_3s =  23.35 t/s
14.53.039.534 I slot print_timing: id  0 | task 7797 | n_gen =   1173, tg =  23.71 t/s, tg_3s =  23.10 t/s
14.56.071.679 I slot print_timing: id  0 | task 7797 | n_gen =   1243, tg =  23.67 t/s, tg_3s =  23.09 t/s
14.59.106.668 I slot print_timing: id  0 | task 7797 | n_gen =   1313, tg =  23.64 t/s, tg_3s =  23.06 t/s
15.02.146.104 I slot print_timing: id  0 | task 7797 | n_gen =   1383, tg =  23.61 t/s, tg_3s =  23.03 t/s
15.05.165.872 I slot print_timing: id  0 | task 7797 | n_gen =   1452, tg =  23.57 t/s, tg_3s =  22.85 t/s
15.06.709.271 I slot print_timing: id  0 | task 7797 | prompt eval time =     330.44 ms /   147 tokens (    2.25 ms per token,   444.86 tokens per second)
